State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$"," People with private health insurance
no. ","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
SA,5491,"1,070","1,050","55,137,824",862,"11,223,144",752,"1,002,894",17,"22,222",787,"11,702,493",17,"53,539",772,"35,194,772",182,"434,288",6,"189,261",10,"113,532",53,"329,719",51,"584,077",14,"103,802",10,"257,690",764,"1,235,417",231,"293,813",359,"4,079,484",358,"1,747,422","1,067","59,586,248",243,"492,398",89,"181,360",545,"145,056",33,"52,881",475,"544,623",7,"4,871",28,"49,064",62,"543,187",275,"96,270",401,"128,235",822,"3,522,967",56,"977,666",81,"963,295",191,"6,072,913",327,"6,417,501",123,"523,841",3,"20,674",2,"60,566",12,"64,359",96,"859,442",68,"272,312",120,"2,479,019",141,"4,715,762",79,"18,387",79,"15,795",70,"2,014",136,"1,489,450",100,"766,632",36,"92,442",136,"850,626",55,"325,455",82,"-545,705",137,"-220,250",64,"89,429",17,"39,917",59,"1,177,920",57,"107,047",18,"5,131,880",91,"7,523,245",108,"12,655,125",104,"10,124,056",19,"605,468",92,"1,780,664",110,"2,386,132",64,"445,045",17,"22,861",9,"2,803",560,"182,363",700,744,"7,696,037"
SA,5495,221,220,"10,691,994",182,"2,067,341",148,"182,678",2,"2,092",159,"2,035,004",3,"16,605",174,"8,686,283",35,"71,070",8,"45,727",6,"140,883",29,"163,460",25,"288,436",4,"36,473",4,"106,756",110,"96,588",23,"5,674",32,"45,693",32,"19,579",220,"11,196,367",54,"128,905",21,"32,660",130,"32,398",6,"11,297",130,"119,957",6,"2,107",4,336,0,0,72,"16,113",106,"25,182",175,"504,373",16,"271,089",18,"167,379",23,"1,112,246",28,"108,898",4,"3,211",1,811,2,"19,762",3,"5,630",8,"142,874",6,"37,708",8,"306,006",14,"78,760",5,"20,062",4,"1,582",4,300,21,"207,242",18,"118,861",10,"5,495",23,"157,913",12,"25,241",11,"-100,268",23,"-75,027",9,"10,683",3,"4,127",5,"99,000",11,"36,418",9,"233,280",18,"701,168",23,"934,448",22,"915,998",8,"-84,212",18,"101,715",22,"17,503",6,"21,832",5,"8,994",1,"1,922",119,"39,893",98,171,"2,091,313"
SA,5501,"3,860","3,837","200,162,181","3,230","39,677,811","2,863","3,605,983",37,"46,670","3,018","41,800,105",53,"154,230","3,102","155,802,618",679,"2,148,882",66,"838,118",75,"596,029",281,"1,497,465",165,"1,653,721",47,"346,078",79,"2,082,484","1,868","2,057,061",204,"81,390",493,"6,447,248",491,"2,763,586","3,848","209,559,781","1,107","2,711,517",255,"882,122","2,307","619,540",142,"155,586","2,067","1,896,020",105,"37,243",48,"129,713",37,"80,171","1,109","249,036","1,785","460,762","3,126","8,915,849",186,"3,303,649",290,"1,947,837",156,"5,717,654",542,"18,010,615",157,"2,125,589",28,"523,461",17,"880,141",42,"405,077",125,"1,561,605",89,"449,614",157,"4,276,162",171,"1,991,630",124,"158,926",108,"49,983",100,"8,439",544,"6,326,794",491,"4,048,203",266,"531,761",546,"3,284,257",149,"862,745",403,"-2,400,172",556,"-1,537,427",152,"292,253",29,"132,372",64,"1,160,937",190,"524,491",59,"3,599,840",294,"23,438,947",341,"27,038,787",343,"19,807,393",65,"-283,239",297,"6,687,377",349,"6,404,138",179,"1,271,347",76,"164,256",26,"18,901","2,232","698,768","1,931","3,021","34,299,930"
SA,5502,838,833,"45,204,106",684,"9,428,703",596,"815,874",11,"14,014",623,"9,812,039",8,"25,266",617,"29,259,683",139,"407,023",11,"167,532",8,"189,278",51,"345,822",55,"542,759",4,"50,585",16,"354,568",469,"800,372",83,"31,214",153,"1,990,022",153,"852,608",836,"47,699,770",202,"504,710",65,"240,972",443,"130,854",23,"33,472",406,"382,217",17,"3,448",14,"2,230",22,"10,236",261,"57,600",371,"110,235",680,"2,339,162",48,"755,982",72,"679,877",124,"7,899,509",176,"3,410,308",58,"329,814",4,"34,333",7,"144,269",14,"113,723",46,"245,992",37,"57,731",66,"1,142,723",63,"581,123",52,"29,136",49,"19,509",46,"47,884",114,"1,459,098",91,"613,235",46,"98,507",109,"640,619",42,"480,317",70,"-373,580",114,"106,737",51,"129,599",9,"8,813",37,"770,153",52,"92,879",15,"1,375,131",73,"7,568,195",85,"8,943,326",84,"7,091,462",18,"121,029",75,"1,827,938",90,"1,948,967",55,"368,894",11,"32,468",5,"5,624",431,"134,807",490,598,"6,404,978"
SA,5510,72,72,"3,499,286",64,"627,803",52,"59,719",0,0,59,"618,846",1,"4,711",51,"1,935,832",9,"7,124",0,0,0,0,5,"37,480",2,"2,953",0,0,0,0,34,"143,136",10,"1,406",22,"60,114",22,"25,761",72,"3,848,794",16,"36,450",5,"14,974",39,"10,118",2,"1,836",35,"26,981",3,166,4,913,0,0,21,"18,838",19,"3,968",54,"331,631",3,"75,963",2,"29,903",23,"1,536,898",24,"164,821",7,"3,034",0,0,1,"2,110",0,0,3,"29,730",2,"9,194",3,"29,818",6,"24,326",0,0,0,0,0,0,9,"124,802",4,"23,240",0,0,9,"65,083",5,"47,107",4,"-10,628",9,"36,479",2,93,0,0,8,"206,758",4,"10,629",2,"489,267",2,"88,170",3,"577,437",4,"447,524",3,"161,141",2,"-31,228",4,"129,913",3,"22,654",0,0,0,0,48,"16,782",47,46,"359,844"
SA,5520,281,277,"14,124,560",222,"2,754,561",187,"245,476",1,"1,333",198,"2,692,660",2,"5,195",190,"7,982,422",52,"133,140",3,"12,819",2,"5,018",20,"128,058",36,"459,122",3,"8,173",6,"106,920",179,"322,620",60,"21,327",93,"281,402",93,"120,570",280,"15,371,060",72,"173,014",19,"64,404",136,"37,592",7,"9,541",125,"93,011",3,339,8,"1,811",5,"13,379",90,"18,324",124,"37,795",212,"1,059,789",12,"177,219",19,"212,414",51,"4,335,110",77,"1,245,429",28,"24,768",1,"13,981",3,"83,935",3,"54,426",24,"128,884",20,"28,942",29,"288,881",31,"395,917",21,"9,076",21,"8,406",14,686,42,"594,337",29,"148,984",14,"13,742",41,"256,245",29,"248,426",13,"-73,060",42,"175,366",13,"12,671",7,"11,001",21,"589,045",12,"21,534",10,"766,493",14,"853,790",23,"1,620,283",20,"1,124,528",11,"152,124",14,"301,477",24,"453,601",13,"78,489",5,"9,295",4,"5,852",140,"43,881",153,181,"1,627,514"
SA,5521,86,85,"5,666,560",68,"1,350,555",58,"104,541",6,"4,592",61,"1,336,074",1,"6,878",49,"1,738,381",14,"17,101",0,0,0,0,10,"55,046",9,"116,362",1,"13,881",2,"22,079",69,"208,992",25,"73,130",36,"406,256",36,"174,103",86,"6,308,120",19,"41,595",5,"3,092",30,"7,679",0,0,24,"28,105",0,0,3,285,3,"4,790",9,"3,428",22,"8,712",66,"571,278",3,"29,886",5,"44,844",32,"3,251,292",40,"275,301",13,"11,559",1,"2,150",3,"22,514",0,0,15,"229,163",13,"72,490",18,"661,514",4,"31,740",13,"8,649",13,"8,649",11,916,9,"103,760",2,"8,203",1,747,10,"38,218",5,"64,976",5,"-8,384",10,"56,592",8,"1,788",3,148,17,"460,689",7,"12,903",4,"259,080",3,"1,222,667",7,"1,481,747",7,"1,186,416",4,"-10,826",3,"306,157",7,"295,331",5,"102,375",1,"2,082",0,0,39,"10,144",56,41,"367,371"
SA,5522,667,658,"30,978,107",532,"5,853,858",418,"528,088",7,"9,158",450,"5,830,637",8,"22,992",408,"17,869,519",119,"217,539",6,"28,411",2,"2,741",54,"332,362",92,"937,219",4,"9,318",31,"985,749",441,"926,595",120,"28,209",195,"954,878",194,"408,968",664,"33,290,729",141,"364,761",48,"180,828",267,"72,055",14,"46,367",266,"284,886",8,924,24,"6,019",15,"39,308",177,"53,809",266,"87,340",487,"2,156,717",56,"1,140,963",65,"693,868",95,"6,496,690",184,"3,358,254",55,"123,270",3,"34,804",2,"36,868",10,"141,838",40,"434,439",20,"93,270",57,"2,020,120",67,"1,158,868",40,"22,510",39,"19,106",34,"1,280",122,"1,451,475",74,"551,425",47,"73,217",122,"841,830",70,"363,290",54,"-378,287",124,"-14,997",36,"56,149",13,"90,112",47,"934,100",40,"86,320",12,"909,811",51,"4,727,536",59,"5,637,347",59,"4,270,500",13,"377,130",48,"883,225",57,"1,260,355",33,"246,618",27,"79,147",5,"2,733",348,"112,311",404,396,"4,129,895"
SA,5523,954,941,"52,929,662",784,"11,145,096",674,"961,882",13,"18,245",703,"11,354,517",24,"116,514",654,"33,659,667",156,"316,270",12,"396,859",8,"53,840",74,"486,069",69,"714,639",13,"60,237",36,"1,026,274",653,"1,485,890",147,"56,412",269,"1,018,271",267,"436,362",949,"56,571,741",220,"395,181",63,"90,210",420,"105,695",29,"56,481",440,"451,048",14,"4,273",29,"84,863",21,"70,025",277,"118,112",400,"121,098",701,"3,027,872",77,"1,489,922",83,"1,105,207",140,"8,656,020",267,"5,426,323",96,"289,222",5,"108,533",6,"48,128",11,"85,070",85,"1,621,704",68,"543,571",105,"5,713,447",101,"1,163,090",74,"132,433",71,"46,390",61,"13,204",162,"1,675,578",108,"720,611",48,"101,690",156,"891,214",69,"363,079",90,"-401,016",162,"-37,937",31,"20,242",10,"39,904",52,"1,377,710",59,"153,077",15,"3,839,551",62,"3,980,378",75,"7,819,929",72,"5,969,202",18,"624,107",64,"1,085,801",78,"1,709,908",40,"340,310",29,"79,528",9,"7,490",448,"138,694",547,630,"8,093,002"
SA,5540,"6,953","6,921","337,745,144","5,610","63,151,334","4,798","5,912,334",92,"117,992","5,169","65,991,022",152,"513,926","5,734","290,215,847","1,138","1,759,139",95,"1,239,654",87,"1,074,818",906,"5,689,775",477,"5,211,475",73,"666,197",132,"3,364,060","3,639","3,616,733",603,"162,875","1,082","3,459,828","1,079","1,482,120","6,930","351,467,068","1,764","3,293,570",550,"791,110","4,046","995,319",252,"448,534","4,051","3,842,158",66,"33,728",59,"42,952",72,"167,596","2,009","622,470","3,332","692,724","5,588","13,415,253",549,"10,836,112",680,"5,691,445",130,"3,692,001",820,"16,951,779",295,"588,254",46,"551,557",12,"183,332",52,"381,676",220,"1,531,114",157,"296,417",286,"3,591,831",345,"4,699,605",223,"312,745",206,"80,991",199,"66,787",901,"10,489,969",736,"5,755,341",347,"760,587",893,"5,813,373",298,"1,559,993",613,"-3,399,325",911,"-1,839,332",145,"318,688",40,"185,435",96,"1,776,273",432,"699,690",26,"1,207,145",376,"32,094,960",401,"33,302,105",394,"23,764,847",29,"164,225",376,"9,038,370",403,"9,202,595",217,"2,213,232",138,"308,329",41,"33,967","3,607","1,182,421","2,925","5,607","67,153,029"
SA,5550,508,502,"20,931,736",376,"3,544,955",295,"329,120",2,"2,596",344,"3,470,269",2,"3,980",405,"14,881,456",82,"104,668",0,0,4,"11,587",37,"239,134",18,"199,823",1,"1,710",11,"282,455",217,"344,609",40,"5,609",63,"81,774",62,"34,991",507,"22,038,991",102,"234,731",24,"79,984",255,"63,694",7,"12,688",240,"154,566",8,"1,684",8,"2,188",1,856,176,"61,017",220,"42,913",363,"1,018,733",12,"242,895",16,"88,465",44,"4,505,656",77,"1,475,128",13,"39,286",2,"23,388",1,"29,184",2,"2,757",11,"100,011",7,"12,152",14,"161,588",17,"393,232",11,"4,944",11,"4,944",9,322,63,"562,698",49,"257,007",16,"15,136",64,"310,847",24,"99,740",41,"-120,032",65,"-20,292",22,"6,868",3,"36,160",23,"347,125",14,"17,287",13,"2,000,127",25,"1,263,371",34,"3,263,498",33,"2,464,638",13,"447,501",25,"222,978",33,"670,479",14,"141,337",5,"10,183",2,801,288,"90,026",174,399,"2,794,240"
SA,5552,140,134,"8,165,579",115,"1,865,091",99,"150,120",2,"3,959",109,"1,802,545",0,0,80,"2,471,985",15,"10,186",1,"10,609",3,"6,933",16,"108,641",3,"26,027",1,"26,031",0,0,84,"268,577",33,"8,342",53,"90,261",53,"38,669",139,"9,706,432",18,"31,600",2,425,48,"11,401",2,"4,832",42,"20,163",1,5,4,"16,517",3,"4,684",32,"9,384",28,"10,714",104,"856,025",3,"71,154",3,"9,029",62,"7,090,567",61,"748,068",29,"51,496",0,0,0,0,3,"17,470",7,"25,050",7,"8,472",11,"1,927,306",11,"53,486",13,"11,574",12,"2,051",9,127,15,"145,952",12,"56,946",3,"4,022",15,"81,107",7,"21,238",8,"-17,361",15,"3,877",9,"6,399",1,160,28,"731,288",10,"15,012",3,"71,333",5,"129,601",8,"200,934",8,"83,817",2,"60,535",6,"46,126",8,"106,661",4,"13,690",1,"3,904",0,0,76,"26,905",97,74,"430,836"
SA,5554,"2,796","2,783","145,298,094","2,307","28,825,057","1,988","2,576,427",34,"42,217","2,121","29,300,878",60,"209,028","2,050","92,372,712",491,"694,342",29,"330,554",21,"162,208",273,"1,645,225",192,"2,109,907",20,"236,619",72,"2,027,915","1,687","2,801,190",357,"107,573",658,"3,735,185",658,"1,600,599","2,789","153,138,534",607,"1,162,262",198,"319,958","1,458","368,391",94,"117,260","1,268","1,046,438",33,"15,694",65,"121,027",51,"111,794",741,"280,424","1,143","416,564","2,231","7,130,540",122,"2,242,807",193,"1,616,546",239,"25,487,397",606,"14,157,001",174,"297,911",32,"832,493",2,"75,766",40,"295,155",136,"1,529,051",115,"380,134",191,"7,630,083",241,"3,226,433",130,"330,035",120,"42,406",114,"62,649",379,"4,798,779",277,"1,994,566",154,"285,495",373,"2,068,631",159,"1,546,895",220,"-1,096,808",381,"450,087",91,"78,234",40,"45,029",137,"2,826,191",164,"343,458",23,"1,112,775",224,"16,184,730",242,"17,297,505",227,"12,006,405",23,"405,709",225,"4,953,465",243,"5,359,174",140,"1,051,120",65,"182,202",28,"27,206","1,515","498,487","1,562","1,995","19,981,999"
SA,5555,341,334,"19,514,966",294,"4,079,310",255,"354,142",1,"1,041",277,"3,885,397",2,"9,167",181,"6,463,549",43,"139,240",5,"54,796",3,"95,906",21,"104,744",17,"172,915",6,"91,805",7,"273,448",245,"635,934",84,"18,818",121,"294,022",121,"125,978",340,"21,768,546",43,"113,432",15,"37,346",115,"30,066",6,"3,402",103,"85,383",6,"1,325",8,"4,142",7,"16,523",54,"33,833",74,"28,778",226,"1,756,470",12,"218,657",30,"246,339",153,"12,787,004",149,"2,420,667",37,"23,043",2,"57,077",0,0,4,"27,517",23,"165,070",20,"28,178",32,"2,316,045",55,"336,543",29,"19,586",27,"9,392",26,"1,261",47,"524,164",32,"182,984",16,"20,242",45,"180,426",27,"254,379",20,"-113,867",47,"140,512",9,"2,186",5,908,47,"1,349,362",22,"52,782",13,"825,075",16,"944,115",27,"1,769,190",26,"1,231,087",13,"155,290",15,"378,230",26,"533,520",17,"89,355",11,"29,457",2,"14,276",194,"64,700",249,175,"1,221,670"
SA,5556,"1,721","1,702","74,590,137","1,335","13,167,649","1,116","1,279,463",20,"25,173","1,188","13,162,184",23,"72,666","1,186","53,114,748",274,"481,093",11,"104,277",22,"96,177",229,"1,538,620",168,"1,789,334",26,"219,219",64,"2,124,534",998,"1,856,718",179,"64,840",365,"1,447,791",367,"621,088","1,715","80,274,547",342,"829,783",112,"235,015",871,"219,045",42,"80,738",738,"642,027",53,"17,839",39,"59,075",17,"29,793",424,"106,387",755,"232,193","1,290","4,362,289",94,"1,827,248",113,"841,182",88,"5,651,211",301,"5,188,923",76,"182,038",16,"240,848",8,"172,220",25,"152,027",82,"1,525,285",65,"360,885",104,"3,909,373",109,"1,819,475",67,"88,831",61,"19,125",54,"130,071",250,"2,879,741",181,"1,267,521",88,"177,407",250,"1,551,093",108,"595,696",147,"-711,976",256,"-116,280",44,"32,694",24,"112,622",65,"1,724,866",97,"176,769",18,"1,118,523",140,"8,043,359",151,"9,161,882",150,"6,365,232",21,"120,065",140,"2,493,415",154,"2,613,480",78,"405,430",68,"182,725",14,"7,908",962,"310,951",836,"1,146","11,345,691"
SA,5558,"2,177","2,167","96,153,255","1,674","17,234,266","1,350","1,597,183",21,"31,966","1,458","17,379,666",25,"71,528","1,410","62,307,224",325,"761,811",21,"316,669",27,"227,991",232,"1,471,343",235,"2,368,023",32,"238,531",87,"2,807,606","1,397","2,209,497",247,"269,289",517,"2,759,163",514,"1,181,315","2,176","101,505,502",442,"986,758",138,"252,917",992,"246,101",65,"72,282",841,"784,125",29,"8,820",35,"30,201",44,"94,379",522,"161,820",892,"280,264","1,593","5,004,622",125,"2,282,800",156,"1,386,913",110,"6,644,383",443,"10,045,050",118,"525,737",14,"326,753",3,"30,193",16,"232,000",136,"1,501,243",95,"239,699",171,"3,451,425",163,"2,537,250",110,"192,421",96,"53,914",83,"37,169",322,"3,779,807",217,"1,631,753",121,"185,652",321,"1,929,610",142,"1,025,169",184,"-992,377",327,"32,792",109,"257,198",21,"105,119",88,"1,865,853",98,"218,319",17,"2,823,441",206,"14,868,803",222,"17,692,244",217,"12,945,178",19,"450,014",211,"4,036,677",229,"4,486,691",115,"697,740",84,"236,742",13,"8,031","1,147","376,957","1,289","1,363","13,838,523"
SA,5560,248,241,"16,667,330",207,"4,012,177",177,"307,922",2,"3,087",190,"3,839,522",5,"27,808",142,"5,352,105",29,"52,642",2,"15,854",1,"3,192",24,"151,604",18,"236,856",9,"129,751",6,"126,020",158,"312,490",52,"7,618",80,"241,775",80,"103,204",246,"18,975,577",49,"100,464",8,"39,791",82,"20,341",5,"10,421",78,"62,457",2,13,2,326,2,629,69,"21,534",86,"21,712",189,"1,361,244",6,"147,377",17,"209,707",89,"12,646,725",101,"2,188,182",24,"18,718",4,"33,794",2,"59,694",4,"47,689",15,"14,658",12,"1,886",21,"38,048",19,"152,403",21,"14,455",20,"4,455",14,"1,232",25,"277,863",19,"120,015",8,"4,537",27,"125,869",13,"89,209",14,"-61,767",27,"27,442",15,"26,307",4,"35,773",43,"1,056,062",16,"27,494",3,"7,107",16,"523,453",18,"530,560",15,"294,768",1,"-9,181",16,"212,327",16,"203,146",11,"43,184",11,"24,657",2,737,109,"38,465",164,130,"1,023,804"
SA,5570,198,198,"8,435,024",152,"1,716,277",116,"145,026",0,0,129,"1,687,528",1,"2,292",136,"5,285,655",42,"55,386",2,"11,095",2,"9,223",18,"137,353",18,"270,092",0,0,6,"158,962",118,"315,783",15,"17,815",42,"311,619",42,"133,538",198,"8,950,595",43,"84,016",12,"30,650",96,"22,567",10,"8,489",77,"63,677",1,"1,060",2,560,0,0,50,"9,212",75,"21,825",137,"501,351",3,"51,937",8,"62,888",33,"971,531",34,"717,861",6,680,1,"1,670",0,0,0,0,6,"1,816",2,73,6,"2,897",17,"60,716",5,"4,451",3,314,3,78,14,"122,300",6,"52,995",1,"4,404",14,"64,340",8,"33,117",6,"-32,556",14,561,5,"5,482",2,"1,544",10,"252,314",5,"6,561",8,"597,918",19,"3,064,005",25,"3,661,923",27,"3,034,020",9,"253,834",20,"377,495",27,"631,329",13,"150,037",4,"7,965",1,660,106,"33,000",109,129,"1,120,101"
SA,5571,887,884,"41,824,764",697,"8,129,381",574,"725,454",8,"12,199",613,"8,283,390",13,"36,177",532,"23,500,000",131,"284,241",13,"163,009",11,"82,539",70,"501,933",91,"878,626",19,"164,721",36,"1,036,050",613,"1,740,844",169,"38,479",261,"2,024,822",261,"868,211",886,"44,535,808",133,"262,956",40,"49,371",361,"87,263",23,"24,493",289,"258,843",15,"6,026",28,"18,306",15,"10,259",194,"241,277",375,"115,465",649,"2,552,267",38,"636,525",80,"977,577",121,"6,875,543",236,"4,038,512",68,"178,778",2,"13,535",3,"146,242",14,"144,036",50,"511,432",33,"43,417",70,"2,118,654",106,"1,723,340",50,"33,423",47,"10,016",44,"2,656",151,"2,011,958",110,"872,325",48,"79,438",153,"1,117,372",70,"465,965",81,"-523,142",153,"-57,177",51,"113,537",7,"40,034",54,"1,391,354",36,"85,919",17,"2,742,163",80,"6,434,376",95,"9,176,539",91,"6,278,729",17,"591,250",83,"2,156,254",98,"2,747,504",60,"628,436",43,"98,538",11,"14,463",453,"154,966",610,500,"5,316,146"
SA,5572,90,90,"5,569,310",81,"1,214,565",75,"105,990",0,0,75,"1,245,250",1,"3,167",48,"2,069,032",12,"9,551",0,0,0,0,6,"35,642",2,"30,425",3,"10,851",1,"24,151",68,"170,829",27,"8,159",37,"90,361",37,"38,716",90,"6,235,395",8,"31,664",4,"11,915",28,"7,023",2,"4,371",23,"26,988",1,62,2,"11,522",5,"30,072",29,"19,966",27,"8,711",67,"507,120",5,"84,366",8,"80,822",31,"2,335,032",45,"1,015,614",9,"24,222",1,"10,185",0,0,1,"4,478",10,"56,458",9,"8,167",11,"113,679",8,"111,628",9,706,9,706,8,122,16,"529,274",10,"258,199",6,"3,919",14,"97,562",9,"255,180",7,"-85,586",16,"169,594",13,"3,952",3,"12,481",15,"324,720",10,"30,106",4,"342,487",14,"881,912",18,"1,224,399",17,"757,748",4,"77,616",14,"386,723",18,"464,339",10,"100,887",2,"1,386",0,0,52,"15,878",68,46,"458,760"
SA,5573,"1,079","1,072","59,760,443",859,"13,502,698",722,"1,086,040",16,"26,367",766,"13,871,184",13,"62,239",661,"26,168,708",160,"419,217",10,"177,639",8,"72,355",96,"677,524",89,"998,116",14,"192,188",20,"640,320",751,"2,120,248",210,"117,677",352,"5,569,740",351,"2,383,304","1,078","64,006,841",185,"401,443",52,"156,180",431,"107,127",18,"25,869",363,"342,771",7,"1,517",25,"48,744",24,"17,457",276,"159,903",364,"113,379",783,"3,909,541",57,"1,156,354",75,"789,976",219,"15,282,134",361,"7,779,898",104,"471,096",8,"42,388",4,"90,634",17,"98,677",85,"1,494,796",71,"424,559",109,"5,443,137",129,"2,596,013",82,"98,348",81,"24,413",67,"2,393",154,"1,926,185",105,"774,001",25,"33,570",150,"925,818",62,"654,253",92,"-461,457",154,"192,796",50,"108,664",12,"19,412",108,"2,404,856",54,"130,295",30,"5,965,142",92,"5,105,719",118,"11,070,861",111,"8,731,834",28,"344,708",93,"1,960,373",117,"2,305,081",64,"597,499",27,"73,866",12,"17,680",527,"172,660",713,624,"5,421,549"
SA,5575,"1,204","1,193","49,603,680",895,"8,813,771",718,"825,307",12,"17,800",774,"8,853,032",19,"80,004",727,"29,744,976",183,"394,413",13,"131,969",12,"73,720",88,"588,968",102,"1,236,240",19,"223,216",30,"868,126",815,"1,385,589",241,"102,071",371,"1,987,742",371,"852,020","1,202","53,896,238",269,"527,685",61,"110,826",519,"155,377",27,"28,920",434,"446,664",24,"14,567",51,"32,317",27,"49,237",250,"98,962",431,"134,541",860,"3,924,904",49,"846,403",62,"469,855",202,"7,545,165",350,"6,068,073",80,"194,541",1,"17,799",7,"56,811",19,"196,832",89,"436,666",61,"72,341",123,"3,057,567",125,"2,106,777",81,"54,065",78,"31,046",64,"2,880",175,"2,315,948",125,"1,072,528",48,"91,755",172,"1,263,852",85,"514,068",90,"-626,255",175,"-112,187",63,"136,332",10,"12,275",99,"2,232,043",42,"92,074",31,"5,710,876",107,"7,973,591",137,"13,684,467",134,"11,447,099",32,"684,204",111,"1,451,157",142,"2,135,361",55,"491,934",28,"86,402",7,"5,355",624,"202,531",719,680,"6,525,875"
SA,5576,611,606,"25,716,755",463,"4,708,498",359,"428,768",6,"8,582",392,"4,694,382",8,"19,509",370,"15,824,381",80,"91,298",5,"95,454",1,687,69,"461,981",57,"730,719",7,"34,000",13,"334,519",430,"955,950",95,"28,370",168,"406,149",167,"174,177",611,"27,535,550",127,"275,954",38,"44,183",283,"72,427",16,"19,885",234,"275,003",8,"4,605",55,"11,519",18,"23,763",144,"34,000",245,"75,999",444,"1,720,960",23,"396,132",40,"287,029",100,"5,160,972",167,"2,412,233",51,"130,310",1,"21,451",3,"12,997",9,"52,750",33,"159,659",23,"37,632",45,"2,213,818",50,"484,355",35,"58,049",35,"50,203",33,"6,941",93,"1,164,653",62,"530,714",27,"54,496",94,"631,040",40,"289,681",53,"-341,278",94,"-51,597",32,"25,236",10,"7,139",40,"822,488",25,"61,134",19,"1,134,047",73,"3,778,458",89,"4,912,505",86,"3,780,533",20,"73,409",73,"1,055,848",89,"1,129,257",44,"212,586",10,"24,266",0,0,306,"100,243",367,351,"3,458,039"
